topic,terms,prev_low,prev_high,lift_low_vs_high
Capitol Hill and the nightlife,"hill, capitol, capitol hill, location capitol, downtown, capital, capital hill, bars",0.041895520838260786,0.02958345485043681,1.4161808027517173
Easy check-in and access,"easy, check, access, easy access, location easy, easy check, check check, described",0.10721653826526864,0.08027389948203663,1.3356338605334743
The apartment and its condition,"apartment, apartment clean, helpful, apartment location, accommodating, located, experience, view",0.12061257189089447,0.09392754547884542,1.2841022436603446
"The room, the bed and the bathroom","room, friendly, room clean, helpful, bathroom, bed, private, welcoming",0.12607003116940058,0.10123076900221298,1.2453726511417156
"Neighbourhood, transit and errands","downtown, space, walk, close, it's, area, bus, kitchen",0.18482347911593347,0.16461062418175704,1.1227919220563682
Walking distance to bars and restaurants,"walking, distance, walking distance, restaurants, location walking, bars, shops, distance restaurants",0.05612052893178091,0.054927868353315236,1.0217132143340073
"The house, the garden and the space","house, house clean, beautiful, house location, house beautiful, beautiful house, house perfect, enjoyed",0.08593117591680026,0.08682828010495605,0.9896680645168672
"A quiet, safe street","neighborhood, quiet, quiet neighborhood, neighborhood quiet, clean quiet, close, safe, lovely",0.09595373431871024,0.11264566178917615,0.8518191716809657
Perfect - nothing to add,"perfect, perfect location, location perfect, apartment perfect, cottage, loved, needed, house perfect",0.06644244158817816,0.0851936739945832,0.7798987703289181
Feeling at home and made welcome,"home, wonderful, feel, experience, welcome, beautiful, felt, lovely",0.11153848091624305,0.18853880908190038,0.5915942794981337
