topic,terms,prevalence
"Neighbourhood, transit and errands","downtown, close, walk, space, it's, bus, neighborhood, street, parking, area, quiet, away",0.18625964899229125
The apartment and its condition,"apartment, apartment clean, apartment location, located, location apartment, view, comfortable, needed, building, responsive, apartment perfect, accommodating",0.11329865747244448
Walking distance to bars and restaurants,"walking, distance, walking distance, restaurants, location walking, bars, shops, distance downtown, easy walking, market, distance restaurants, restaurants walking",0.057669205882568686
"The house, the garden and the space","house, house clean, house location, neighborhood, beautiful, quiet, enjoyed, people, house perfect, located, group, lovely",0.09325240180557176
Feeling at home and made welcome,"home, experience, wonderful, feel, welcome, lovely, felt, beautiful, neighborhood, feel home, feel welcome, cozy",0.13479169510204642
Easy check-in and access,"easy, check, access, easy access, easy check, check check, location easy, check easy, communication, communicate, easy communicate, process",0.09369164070749823
Host responsiveness and helpfulness,"friendly, helpful, friendly helpful, accommodating, welcoming, friendly accommodating, extremely, helpful friendly, responsive, neighborhood, convenient, dog",0.08869839209598694
Perfect - nothing to add,"perfect, perfect location, location perfect, apartment perfect, needed, loved, house perfect, perfect needs, space, needs, absolutely, spot",0.06395731937998328
Capitol Hill and the nightlife,"hill, capitol, capitol hill, location capitol, bars, capital, capital hill, downtown capitol, walk, downtown, hill area, restaurants",0.04006129521119116
"The room, the bed and the bathroom","room, comfortable, bed, clean comfortable, room clean, bed comfortable, bathroom, private, comfortable bed, room comfortable, convenient, comfortable room",0.1246108158051007
